| Interactions | ng | ns | nn | ll | sb | ss | tb | bb | gg | sg |
| tanbeta = 10, m0 = 360 m12 = 820 | 1.08532e-05  pm 1.36485e-06 | 6.12936e-05 pm 2.11911e-05 | 0.00105847 pm 5.43399e-05 | 0.000201496 pm 1.33389e-05 | 1.54317e-05 pm 8.91014e-06 | 0.000202276 pm 4.07118e-05 | 9.035e-06 pm 6.53973e-06 | 1.411e-06 pm 1.3329e-06 | 2.97e-06 pm 2.52335e-06 | 6.13312e-05 pm 3.21477e-05 | 
| tanbeta = 10, m0 = 360 m12 = 840 | 7.63797e-06  pm 9.83945e-07 | 4.91525e-05 pm 1.72031e-05 | 0.000892308 pm 4.62658e-05 | 0.000182694 pm 1.21766e-05 | 1.10167e-05 pm 6.61729e-06 | 0.000150738 pm 3.08559e-05 | 6.872e-06 pm 5.1203e-06 | 1.032e-06 pm 1.01086e-06 | 2.02e-06 pm 1.77598e-06 | 4.3713e-05 pm 2.37234e-05 | 
| tanbeta = 10, m0 = 360 m12 = 860 | 6.51053e-06  pm 9.43993e-07 | 3.95639e-05 pm 1.40622e-05 | 0.000751288 pm 3.87446e-05 | 0.000165682 pm 1.11041e-05 | 7.96206e-06 pm 4.97077e-06 | 0.000112982 pm 2.41323e-05 | 5.227e-06 pm 4.02827e-06 | 7.54e-07 pm 7.68157e-07 | 1.37e-06 pm 1.24663e-06 | 3.12009e-05 pm 1.74878e-05 | 
| tanbeta = 10, m0 = 360 m12 = 880 | 5.00219e-06  pm 7.6788e-07 | 3.18527e-05 pm 1.14362e-05 | 0.000634743 pm 3.28903e-05 | 0.000150391 pm 9.99224e-06 | 5.73989e-06 pm 3.71063e-06 | 8.42212e-05 pm 1.81369e-05 | 3.987e-06 pm 3.17078e-06 | 5.51e-07 pm 5.81776e-07 | 9.24e-07 pm 8.69748e-07 | 2.2206e-05 pm 1.28205e-05 | 
| tanbeta = 10, m0 = 360 m12 = 900 | 3.84185e-06  pm 6.23516e-07 | 2.56848e-05 pm 9.40421e-06 | 0.000536799 pm 2.79709e-05 | 0.000136572 pm 9.05346e-06 | 4.12801e-06 pm 2.76321e-06 | 6.25272e-05 pm 1.38618e-05 | 3.033e-06 pm 2.49292e-06 | 4.02e-07 pm 4.40088e-07 | 6.22e-07 pm 6.03113e-07 | 1.57491e-05 pm 9.38874e-06 | 
| tanbeta = 10, m0 = 360 m12 = 920 | 2.95396e-06  pm 5.07947e-07 | 2.07277e-05 pm 7.67051e-06 | 0.000455267 pm 2.37432e-05 | 0.000124083 pm 8.2994e-06 | 2.91e-06 pm 2.38429e-06 | 4.30847e-05 pm 1.31625e-05 | 2.319e-06 pm 1.96279e-06 | 2.94e-07 pm 3.32382e-07 | 2.89e-07 pm 4.69459e-07 | 1e-05 pm 7.23608e-06 | 
| tanbeta = 10, m0 = 360 m12 = 940 | 2.27495e-06  pm 4.14254e-07 | 1.67245e-05 pm 6.27891e-06 | 0.000385769 pm 2.03813e-05 | 0.000112893 pm 7.5245e-06 | 2.08e-06 pm 1.76026e-06 | 3.1857e-05 pm 9.9505e-06 | 1.769e-06 pm 1.54435e-06 | 2.142e-07 pm 2.50687e-07 | 1.91e-07 pm 3.2014e-07 | 7.05e-06 pm 5.24379e-06 | 
| tanbeta = 10, m0 = 360 m12 = 960 | 1.75e-06  pm 3.35424e-07 | 1.35159e-05 pm 5.1511e-06 | 0.000327191 pm 1.69425e-05 | 0.000102754 pm 6.77989e-06 | 1.49e-06 pm 1.29383e-06 | 2.34449e-05 pm 7.4932e-06 | 1.35e-06 pm 1.22092e-06 | 1.557e-07 pm 1.88454e-07 | 1.25e-07 pm 2.16887e-07 | 4.93e-06 pm 3.77413e-06 | 
| tanbeta = 10, m0 = 360 m12 = 980 | 1.34715e-06  pm 2.70486e-07 | 1.09215e-05 pm 4.22031e-06 | 0.000277436 pm 1.43654e-05 | 9.35683e-05 pm 6.26657e-06 | 1.06e-06 pm 9.50048e-07 | 1.71939e-05 pm 5.66417e-06 | 1.0294e-06 pm 9.56555e-07 | 1.129e-07 pm 1.41573e-07 | 8.17e-08 pm 1.45614e-07 | 3.44e-06 pm 2.70607e-06 | 
| tanbeta = 10, m0 = 360 m12 = 1000 | 1.03818e-06  pm 2.18596e-07 | 8.83742e-06 pm 3.4587e-06 | 0.000236778 pm 1.21885e-05 | 8.52735e-05 pm 5.67475e-06 | 7.51e-07 pm 6.94712e-07 | 1.264e-05 pm 4.23047e-06 | 7.866e-07 pm 7.56631e-07 | 8.19e-08 pm 1.06009e-07 | 5.28e-08 pm 9.72932e-08 | 2.38e-06 pm 1.92437e-06 | 
| tanbeta = 10, m0 = 380 m12 = 100 | 1.82043  pm 0.144112 | 0.947961 pm 0.179974 | 114.964 pm 11.2754 | 0.00375385 pm 0.000258109 | 3.64249 pm 0.531438 | 6.67 pm 0.813826 | 1.54384 pm 0.288979 | 0.407 pm 0.0812644 | 82.715 pm 13.7032 | 62.0249 pm 8.24705 | 
| tanbeta = 10, m0 = 380 m12 = 120 | 1.06726  pm 0.0849735 | 0.697325 pm 0.132916 | 41.3453 pm 3.6159 | 0.00362459 pm 0.000249896 | 2.59366 pm 0.379083 | 4.92 pm 0.590607 | 1.07578 pm 0.205418 | 0.2746 pm 0.0578018 | 31.0923 pm 5.05008 | 33.8081 pm 4.26261 | 
| tanbeta = 10, m0 = 380 m12 = 140 | 0.646392  pm 0.0512669 | 0.505346 pm 0.0983134 | 16.3993 pm 1.29028 | 0.00347721 pm 0.0002388 | 1.79064 pm 0.262289 | 3.57 pm 0.415537 | 0.724575 pm 0.139876 | 0.1834 pm 0.0409176 | 13.1083 pm 2.14548 | 19.0409 pm 2.28811 | 
| tanbeta = 10, m0 = 380 m12 = 160 | 0.39193  pm 0.0266337 | 0.3633 pm 0.0717684 | 7.93345 pm 0.579123 | 0.0033179 pm 0.000225078 | 1.23414 pm 0.181723 | 2.57 pm 0.294985 | 0.4818 pm 0.0955491 | 0.1215 pm 0.0287721 | 6.03 pm 1.05026 | 11.0676 pm 1.2584 | 
| tanbeta = 10, m0 = 380 m12 = 180 | 0.256833  pm 0.0210002 | 0.260911 pm 0.052593 | 4.30774 pm 0.294713 | 0.0031473 pm 0.000215259 | 0.843563 pm 0.125488 | 1.86129 pm 0.212563 | 0.3202 pm 0.06625 | 0.0805 pm 0.020269 | 2.96 pm 0.551443 | 6.59158 pm 0.73989 | 
| tanbeta = 10, m0 = 380 m12 = 200 | 0.167071  pm 0.0140161 | 0.18749 pm 0.038531 | 2.52895 pm 0.164774 | 0.00297349 pm 0.000202658 | 0.57217 pm 0.0850422 | 1.3427 pm 0.15335 | 0.2115 pm 0.0456938 | 0.054 pm 0.0144152 | 1.53 pm 0.306473 | 4.04 pm 0.453356 | 
| tanbeta = 10, m0 = 380 m12 = 220 | 0.110698  pm 0.00951854 | 0.135225 pm 0.0283902 | 1.57177 pm 0.0978711 | 0.00279383 pm 0.000190667 | 0.392719 pm 0.0595173 | 0.983658 pm 0.112405 | 0.1401 pm 0.0316354 | 0.0359 pm 0.0100437 | 0.827 pm 0.176435 | 2.53 pm 0.292321 | 
| tanbeta = 10, m0 = 380 m12 = 240 | 0.0742586  pm 0.006443 | 0.0979889 pm 0.0209923 | 1.02204 pm 0.0612914 | 0.00261428 pm 0.00017667 | 0.267774 pm 0.0401723 | 0.719885 pm 0.0826436 | 0.09367 pm 0.0220319 | 0.024 pm 0.00703789 | 0.464 pm 0.105929 | 1.61 pm 0.192578 | 
| tanbeta = 10, m0 = 380 m12 = 260 | 0.0505527  pm 0.00430996 | 0.0714582 pm 0.0156695 | 0.687507 pm 0.0400205 | 0.00243657 pm 0.00016685 | 0.183 pm 0.0277274 | 0.52814 pm 0.0605937 | 0.06296 pm 0.0154227 | 0.01616 pm 0.00495927 | 0.268 pm 0.0651686 | 1.05 pm 0.129895 | 
| tanbeta = 10, m0 = 380 m12 = 280 | 0.0347572  pm 0.00301348 | 0.0523796 pm 0.0116842 | 0.475916 pm 0.0271729 | 0.00226454 pm 0.000153935 | 0.127 pm 0.0200816 | 0.389856 pm 0.0450653 | 0.04266 pm 0.0109076 | 0.01093 pm 0.00352287 | 0.158 pm 0.0408793 | 0.688 pm 0.0889519 | 
| tanbeta = 10, m0 = 380 m12 = 300 | 0.0241032  pm 0.0020426 | 0.038562 pm 0.00876258 | 0.337112 pm 0.0188718 | 0.00209476 pm 0.000143221 | 0.0881 pm 0.0142227 | 0.28852 pm 0.0336462 | 0.02916 pm 0.00778244 | 0.00746 pm 0.0025221 | 0.0956 pm 0.0262427 | 0.458 pm 0.0618253 | 
| tanbeta = 10, m0 = 380 m12 = 320 | 0.0168052  pm 0.00139867 | 0.0286663 pm 0.00666527 | 0.243667 pm 0.0133814 | 0.00193211 pm 0.000132422 | 0.061 pm 0.010198 | 0.212647 pm 0.0254694 | 0.02007 pm 0.0055884 | 0.00511 pm 0.00180402 | 0.0587 pm 0.0170899 | 0.306954 pm 0.0433517 | 
| tanbeta = 10, m0 = 380 m12 = 340 | 0.0117508  pm 0.000959668 | 0.021396 pm 0.00507078 | 0.179753 pm 0.00977654 | 0.00177726 pm 0.000122435 | 0.0432 pm 0.00746168 | 0.16017 pm 0.0192937 | 0.01386 pm 0.00402579 | 0.00353 pm 0.0012996 | 0.0364586 pm 0.0114046 | 0.208596 pm 0.0312107 | 
| tanbeta = 10, m0 = 380 m12 = 360 | 0.00838287  pm 0.00066534 | 0.0160614 pm 0.00388877 | 0.134262 pm 0.00719638 | 0.00163122 pm 0.000112596 | 0.0303 pm 0.00540548 | 0.119704 pm 0.0144567 | 0.00974 pm 0.00293899 | 0.002446 pm 0.000939796 | 0.0230314 pm 0.00769938 | 0.142232 pm 0.0228879 | 
| tanbeta = 10, m0 = 380 m12 = 380 | 0.00600736  pm 0.000471037 | 0.0121271 pm 0.00299483 | 0.10161 pm 0.00539823 | 0.00149334 pm 0.000103182 | 0.0214437 pm 0.00403312 | 0.0898103 pm 0.0112474 | 0.00689 pm 0.00216652 | 0.001708 pm 0.000682231 | 0.0147307 pm 0.00527098 | 0.098395 pm 0.0169747 | 
| tanbeta = 10, m0 = 380 m12 = 400 | 0.00435766  pm 0.000349063 | 0.00920137 pm 0.00232365 | 0.077723 pm 0.00406407 | 0.0013652 pm 9.33459e-05 | 0.0150882 pm 0.00300812 | 0.0675364 pm 0.00861978 | 0.004903 pm 0.00160538 | 0.001198 pm 0.000499875 | 0.00948271 pm 0.00362553 | 0.068228 pm 0.0125467 | 
| tanbeta = 10, m0 = 380 m12 = 420 | 0.00317077  pm 0.000247345 | 0.00702274 pm 0.00180315 | 0.060114 pm 0.00313066 | 0.00124507 pm 8.43817e-05 | 0.0106954 pm 0.00224944 | 0.0509213 pm 0.00663298 | 0.003504 pm 0.00119552 | 0.000845 pm 0.000367075 | 0.00616656 pm 0.00250345 | 0.047591 pm 0.00940152 | 
| tanbeta = 10, m0 = 380 m12 = 440 | 0.00231853  pm 0.000174203 | 0.00537478 pm 0.00140863 | 0.0469255 pm 0.00244303 | 0.00113342 pm 7.68484e-05 | 0.007586 pm 0.00169217 | 0.038446 pm 0.00504525 | 0.002519 pm 0.000894549 | 0.000599 pm 0.000271507 | 0.00408056 pm 0.00175664 | 0.0334934 pm 0.00705562 | 
| tanbeta = 10, m0 = 380 m12 = 460 | 0.00170398  pm 0.000126072 | 0.00413454 pm 0.00111063 | 0.0368519 pm 0.00189239 | 0.00103067 pm 7.01319e-05 | 0.00539496 pm 0.00127357 | 0.0291307 pm 0.00392548 | 0.001825 pm 0.000674809 | 0.000426 pm 0.000201186 | 0.00270323 pm 0.00123329 | 0.0235564 pm 0.0052232 | 
| tanbeta = 10, m0 = 380 m12 = 480 | 0.00125794  pm 9.06877e-05 | 0.00319594 pm 0.000872532 | 0.0291414 pm 0.00148769 | 0.000935862 pm 6.42005e-05 | 0.00386847 pm 0.000964591 | 0.0221605 pm 0.0030139 | 0.001232 pm 0.000491666 | 0.000304 pm 0.000149529 | 0.0018035 pm 0.000866114 | 0.016726 pm 0.00396541 | 
| tanbeta = 10, m0 = 380 m12 = 500 | 0.0009317  pm 6.45216e-05 | 0.00247659 pm 0.000688519 | 0.0232326 pm 0.00117764 | 0.000849709 pm 5.74121e-05 | 0.00276929 pm 0.000729638 | 0.016806 pm 0.00238018 | 0.0008983 pm 0.000373062 | 0.0002182 pm 0.000111633 | 0.00121014 pm 0.00060965 | 0.011906 pm 0.00300659 | 
| tanbeta = 10, m0 = 380 m12 = 520 | 0.000695859  pm 4.72192e-05 | 0.0019269 pm 0.000543801 | 0.0186542 pm 0.000949466 | 0.000770159 pm 5.20671e-05 | 0.00197281 pm 0.000547999 | 0.0126932 pm 0.00183104 | 0.0006583 pm 0.000283609 | 0.0001568 pm 8.34017e-05 | 0.000814519 pm 0.000430215 | 0.00845616 pm 0.00226347 | 
| tanbeta = 10, m0 = 380 m12 = 540 | 0.000521846  pm 3.56968e-05 | 0.00150448 pm 0.000429237 | 0.0150328 pm 0.000762807 | 0.000697875 pm 4.72887e-05 | 0.00142352 pm 0.000416784 | 0.0096675 pm 0.00140219 | 0.0004834 pm 0.000215458 | 0.0001131 pm 6.27083e-05 | 0.000550432 pm 0.000304616 | 0.00604162 pm 0.00171756 | 
| tanbeta = 10, m0 = 380 m12 = 560 | 0.000391807  pm 2.61554e-05 | 0.00117795 pm 0.000341127 | 0.0121764 pm 0.000616839 | 0.000631481 pm 4.29078e-05 | 0.00102907 pm 0.000321708 | 0.0073625 pm 0.0010913 | 0.0003578 pm 0.000165545 | 8.18e-05 pm 4.72074e-05 | 0.000372558 pm 0.000215575 | 0.00432302 pm 0.00130008 | 
| tanbeta = 10, m0 = 380 m12 = 580 | 0.000294624  pm 1.99887e-05 | 0.000924134 pm 0.000271181 | 0.00989753 pm 0.000500872 | 0.000572309 pm 3.90375e-05 | 0.000735298 pm 0.000242276 | 0.00557223 pm 0.000841171 | 0.0002649 pm 0.000127101 | 5.93e-05 pm 3.55775e-05 | 0.000257002 pm 0.000154601 | 0.00310306 pm 0.000977489 | 
| tanbeta = 10, m0 = 380 m12 = 600 | 0.000221902  pm 1.57276e-05 | 0.000728644 pm 0.000217176 | 0.00809773 pm 0.000411732 | 0.000517162 pm 3.43139e-05 | 0.00053163 pm 0.000184533 | 0.00425332 pm 0.000652626 | 0.0001967 pm 9.79873e-05 | 4.3e-05 pm 2.6902e-05 | 0.000175256 pm 0.000109458 | 0.00222641 pm 0.000738612 | 
| tanbeta = 10, m0 = 380 m12 = 620 | 0.000167366  pm 1.23748e-05 | 0.000574508 pm 0.000173799 | 0.00663655 pm 0.000336847 | 0.000468249 pm 3.1492e-05 | 0.000381639 pm 0.000140283 | 0.0032162 pm 0.000505893 | 0.0001465 pm 7.55122e-05 | 3.13e-05 pm 2.03706e-05 | 0.000121321 pm 7.87085e-05 | 0.00160463 pm 0.000558159 | 
| tanbeta = 10, m0 = 380 m12 = 640 | 0.000126355  pm 9.83832e-06 | 0.000453943 pm 0.000138932 | 0.00545562 pm 0.000276253 | 0.000423556 pm 2.85584e-05 | 0.000276218 pm 0.000106595 | 0.0024455 pm 0.000392411 | 0.0001099 pm 5.87167e-05 | 2.277e-05 pm 1.53994e-05 | 8.28813e-05 pm 5.55533e-05 | 0.00115558 pm 0.000422693 | 
| tanbeta = 10, m0 = 380 m12 = 660 | 9.57365e-05  pm 7.79057e-06 | 0.000360717 pm 0.000111421 | 0.00450708 pm 0.000229476 | 0.000383267 pm 2.59026e-05 | 0.000200639 pm 8.14258e-05 | 0.00187065 pm 0.000305607 | 8.241e-05 pm 4.5644e-05 | 1.662e-05 pm 1.16768e-05 | 5.71595e-05 pm 3.9525e-05 | 0.000833529 pm 0.000319141 | 
| tanbeta = 10, m0 = 380 m12 = 680 | 7.25321e-05  pm 6.28384e-06 | 0.000286486 pm 8.99947e-05 | 0.00372257 pm 0.000188506 | 0.000346665 pm 2.31946e-05 | 0.00014414 pm 6.18264e-05 | 0.00140571 pm 0.00023307 | 6.195e-05 pm 3.54232e-05 | 1.215e-05 pm 8.87119e-06 | 3.95586e-05 pm 2.81866e-05 | 0.000600134 pm 0.000240452 | 
| tanbeta = 10, m0 = 380 m12 = 700 | 5.51098e-05  pm 4.99455e-06 | 0.000227932 pm 7.22286e-05 | 0.00309577 pm 0.000157372 | 0.000313854 pm 2.097e-05 | 0.000104381 pm 4.6962e-05 | 0.00106473 pm 0.0001805 | 4.673e-05 pm 2.76794e-05 | 8.88e-06 pm 6.72963e-06 | 2.72497e-05 pm 1.99796e-05 | 0.000432018 pm 0.000180063 | 
| tanbeta = 10, m0 = 380 m12 = 720 | 4.18987e-05  pm 4.04488e-06 | 0.000181729 pm 5.85063e-05 | 0.00256857 pm 0.000129732 | 0.000284136 pm 1.88605e-05 | 7.55943e-05 pm 3.55595e-05 | 0.000809272 pm 0.000142349 | 3.521e-05 pm 2.16082e-05 | 6.49e-06 pm 5.1105e-06 | 1.88576e-05 pm 1.42051e-05 | 0.000312152 pm 0.000135502 | 
| tanbeta = 10, m0 = 380 m12 = 740 | 3.19127e-05  pm 3.20239e-06 | 0.000145167 pm 4.73507e-05 | 0.00214211 pm 0.000108591 | 0.000257279 pm 1.72526e-05 | 5.42489e-05 pm 2.66736e-05 | 0.000608249 pm 0.000110061 | 2.669e-05 pm 1.69086e-05 | 4.75e-06 pm 3.882e-06 | 1.30578e-05 pm 1.00803e-05 | 0.000225 pm 0.000101942 | 
| tanbeta = 10, m0 = 380 m12 = 760 | 2.42903e-05  pm 2.58167e-06 | 0.000116084 pm 3.83815e-05 | 0.00179268 pm 9.13087e-05 | 0.000233066 pm 1.5537e-05 | 3.93567e-05 pm 2.02362e-05 | 0.000459626 pm 8.49261e-05 | 2.019e-05 pm 1.32234e-05 | 3.47e-06 pm 2.94578e-06 | 9.02303e-06 pm 7.12296e-06 | 0.000161613 pm 7.62899e-05 | 
| tanbeta = 10, m0 = 380 m12 = 780 | 1.85659e-05  pm 2.08124e-06 | 9.29789e-05 pm 3.12064e-05 | 0.00150238 pm 7.67484e-05 | 0.00021139 pm 1.3888e-05 | 2.84992e-05 pm 1.52518e-05 | 0.000346889 pm 6.63352e-05 | 1.534e-05 pm 1.03755e-05 | 2.547e-06 pm 2.23987e-06 | 6.22487e-06 pm 5.02025e-06 | 0.000116306 pm 5.68973e-05 | 
| tanbeta = 10, m0 = 380 m12 = 800 | 1.41822e-05  pm 1.68756e-06 | 7.45362e-05 pm 2.53643e-05 | 0.00126124 pm 6.46081e-05 | 0.000191727 pm 1.27859e-05 | 2.06145e-05 pm 1.14938e-05 | 0.000260902 pm 5.14036e-05 | 1.1618e-05 pm 8.16494e-06 | 1.862e-06 pm 1.70157e-06 | 4.29576e-06 pm 3.53388e-06 | 8.36904e-05 pm 4.24871e-05 | 
| tanbeta = 10, m0 = 380 m12 = 820 | 1.08094e-05  pm 1.37599e-06 | 5.99631e-05 pm 2.06797e-05 | 0.00106033 pm 5.46192e-05 | 0.000173866 pm 1.14859e-05 | 1.47801e-05 pm 8.59342e-06 | 0.000194087 pm 3.88067e-05 | 8.847e-06 pm 6.39102e-06 | 1.364e-06 pm 1.29459e-06 | 2.94e-06 pm 2.49957e-06 | 5.97696e-05 pm 3.14331e-05 | 
| tanbeta = 10, m0 = 380 m12 = 840 | 8.19633e-06  pm 1.10604e-06 | 4.81192e-05 pm 1.68622e-05 | 0.000892087 pm 4.59338e-05 | 0.000157756 pm 1.03538e-05 | 1.06419e-05 pm 6.42571e-06 | 0.000145655 pm 3.02659e-05 | 6.728e-06 pm 5.03242e-06 | 9.98e-07 pm 9.83692e-07 | 2e-06 pm 1.76035e-06 | 4.27835e-05 pm 2.33005e-05 | 
| tanbeta = 10, m0 = 380 m12 = 860 | 6.45194e-06  pm 9.31028e-07 | 3.86998e-05 pm 1.37999e-05 | 0.000752175 pm 3.88183e-05 | 0.000143384 pm 9.39152e-06 | 7.67731e-06 pm 4.81159e-06 | 0.000109339 pm 2.3184e-05 | 5.127e-06 pm 3.96012e-06 | 7.31e-07 pm 7.46589e-07 | 1.36e-06 pm 1.23841e-06 | 3.04772e-05 pm 1.71022e-05 | 
| tanbeta = 10, m0 = 380 m12 = 880 | 4.96036e-06  pm 7.62785e-07 | 3.12579e-05 pm 1.12551e-05 | 0.000634823 pm 3.2729e-05 | 0.000130311 pm 8.58761e-06 | 5.52876e-06 pm 3.5923e-06 | 8.15148e-05 pm 1.7653e-05 | 3.91e-06 pm 3.11785e-06 | 5.34e-07 pm 5.66286e-07 | 9.15e-07 pm 8.61705e-07 | 2.16603e-05 pm 1.25249e-05 | 
| tanbeta = 10, m0 = 380 m12 = 900 | 3.80422e-06  pm 6.21219e-07 | 2.51799e-05 pm 9.19477e-06 | 0.000536773 pm 2.78545e-05 | 0.000118511 pm 7.77899e-06 | 3.977e-06 pm 2.66567e-06 | 6.05112e-05 pm 1.34518e-05 | 2.978e-06 pm 2.45319e-06 | 3.9e-07 pm 4.28273e-07 | 6.22e-07 pm 6.03098e-07 | 1.5483e-05 pm 9.24091e-06 | 
| tanbeta = 10, m0 = 380 m12 = 920 | 2.9273e-06  pm 5.04732e-07 | 2.03209e-05 pm 7.53864e-06 | 0.000455174 pm 2.37283e-05 | 0.000107795 pm 6.9488e-06 | 2.81e-06 pm 2.31046e-06 | 4.16855e-05 pm 1.27593e-05 | 2.276e-06 pm 1.93031e-06 | 2.847e-07 pm 3.23434e-07 | 2.86e-07 pm 4.65639e-07 | 9.83e-06 pm 7.15786e-06 | 
| tanbeta = 10, m0 = 380 m12 = 940 | 2.25569e-06  pm 4.11958e-07 | 1.64117e-05 pm 6.16269e-06 | 0.000385705 pm 2.01742e-05 | 9.82041e-05 pm 6.34864e-06 | 2.01e-06 pm 1.70643e-06 | 3.07988e-05 pm 9.6733e-06 | 1.737e-06 pm 1.52209e-06 | 2.076e-07 pm 2.43647e-07 | 1.89e-07 pm 3.18119e-07 | 6.91e-06 pm 5.14692e-06 | 
| tanbeta = 10, m0 = 380 m12 = 960 | 1.73648e-06  pm 3.34027e-07 | 1.32597e-05 pm 5.06117e-06 | 0.00032715 pm 1.69223e-05 | 8.95528e-05 pm 5.96101e-06 | 1.43e-06 pm 1.25216e-06 | 2.2672e-05 pm 7.32444e-06 | 1.328e-06 pm 1.19839e-06 | 1.51e-07 pm 1.83371e-07 | 1.24e-07 pm 2.15393e-07 | 4.83e-06 pm 3.70762e-06 | 
| tanbeta = 10, m0 = 380 m12 = 980 | 1.33625e-06  pm 2.68768e-07 | 1.0722e-05 pm 4.14153e-06 | 0.000278479 pm 1.44476e-05 | 8.16884e-05 pm 5.38624e-06 | 1.02e-06 pm 9.20842e-07 | 1.66752e-05 pm 5.54876e-06 | 1.012e-06 pm 9.44331e-07 | 1.097e-07 pm 1.3757e-07 | 8.1e-08 pm 1.44464e-07 | 3.37e-06 pm 2.65269e-06 | 
| tanbeta = 10, m0 = 380 m12 = 1000 | 1.02953e-06  pm 2.17191e-07 | 8.67495e-06 pm 3.40173e-06 | 0.000236733 pm 1.21841e-05 | 7.45645e-05 pm 4.85712e-06 | 7.24e-07 pm 6.73624e-07 | 1.21845e-05 pm 4.09815e-06 | 7.725e-07 pm 7.43739e-07 | 7.95e-08 pm 1.0311e-07 | 5.24e-08 pm 9.64707e-08 | 2.33e-06 pm 1.88932e-06 | 
| tanbeta = 10, m0 = 400 m12 = 100 | 1.68451  pm 0.136342 | 0.795521 pm 0.151585 | 111.219 pm 10.8767 | 0.00285814 pm 0.00019602 | 2.91087 pm 0.429208 | 5.63 pm 0.698534 | 1.30361 pm 0.241648 | 0.3273 pm 0.0664942 | 81.7158 pm 13.5567 | 55.3365 pm 7.443 | 
| tanbeta = 10, m0 = 400 m12 = 120 | 0.99658  pm 0.0796935 | 0.595065 pm 0.114797 | 40.6159 pm 3.56148 | 0.00276623 pm 0.000190626 | 2.10722 pm 0.305914 | 4.21 pm 0.510177 | 0.913864 pm 0.174608 | 0.2253 pm 0.0482804 | 30.8054 pm 5.06581 | 30.5489 pm 3.92835 | 
| tanbeta = 10, m0 = 400 m12 = 140 | 0.608532  pm 0.049164 | 0.43785 pm 0.0857217 | 16.3099 pm 1.27846 | 0.00266109 pm 0.00018308 | 1.48512 pm 0.219511 | 3.1 pm 0.364709 | 0.625683 pm 0.121271 | 0.1526 pm 0.03467 | 13 pm 2.13766 | 17.3865 pm 2.09722 | 
| tanbeta = 10, m0 = 400 m12 = 160 | 0.380901  pm 0.0311577 | 0.31957 pm 0.0632118 | 7.92777 pm 0.57427 | 0.00254875 pm 0.000175271 | 1.03858 pm 0.15225 | 2.27 pm 0.26346 | 0.4222 pm 0.0849339 | 0.1029 pm 0.0247237 | 5.97 pm 1.04548 | 10.1696 pm 1.1876 | 
| tanbeta = 10, m0 = 400 m12 = 180 | 0.24443  pm 0.0201807 | 0.232196 pm 0.0470883 | 4.32636 pm 0.292144 | 0.00242886 pm 0.000167134 | 0.718915 pm 0.106751 | 1.65196 pm 0.191637 | 0.2834 pm 0.0593309 | 0.0692 pm 0.0175616 | 2.93 pm 0.550122 | 6.11316 pm 0.693509 | 
| tanbeta = 10, m0 = 400 m12 = 200 | 0.160025  pm 0.0133681 | 0.16861 pm 0.0348123 | 2.5448 pm 0.16328 | 0.00230218 pm 0.000156591 | 0.494722 pm 0.0732438 | 1.2128 pm 0.139781 | 0.1897 pm 0.0413641 | 0.0466 pm 0.0124728 | 1.52 pm 0.30597 | 3.78 pm 0.431594 | 
| tanbeta = 10, m0 = 400 m12 = 220 | 0.106366  pm 0.00922297 | 0.122718 pm 0.0259634 | 1.58182 pm 0.0980277 | 0.00217128 pm 0.000147463 | 0.343281 pm 0.0512284 | 0.89193 pm 0.103225 | 0.127 pm 0.0289279 | 0.03172 pm 0.00897552 | 0.819 pm 0.175904 | 2.38 pm 0.279097 | 
| tanbeta = 10, m0 = 400 m12 = 240 | 0.0717973  pm 0.00617621 | 0.0897283 pm 0.019369 | 1.02852 pm 0.0621364 | 0.00204163 pm 0.000140343 | 0.235921 pm 0.0357512 | 0.657453 pm 0.0760209 | 0.08547 pm 0.0202731 | 0.02139 pm 0.00633134 | 0.459 pm 0.105271 | 1.52 pm 0.183779 | 
| tanbeta = 10, m0 = 400 m12 = 260 | 0.0489625  pm 0.00423713 | 0.0658098 pm 0.0144357 | 0.692153 pm 0.0402971 | 0.00191112 pm 0.00013083 | 0.163 pm 0.0249359 | 0.485218 pm 0.0564318 | 0.05792 pm 0.0143356 | 0.01451 pm 0.00451479 | 0.265 pm 0.0647939 | 0.99 pm 0.124218 | 
| tanbeta = 10, m0 = 400 m12 = 280 | 0.0338315  pm 0.00290058 | 0.0485766 pm 0.010821 | 0.479374 pm 0.0273133 | 0.00178214 pm 0.000123416 | 0.114 pm 0.0180589 | 0.359947 pm 0.0421865 | 0.03957 pm 0.0101933 | 0.0099 pm 0.00322316 | 0.157 pm 0.0408252 | 0.653 pm 0.0852848 | 
| tanbeta = 10, m0 = 400 m12 = 300 | 0.0229834  pm 0.00164052 | 0.0360281 pm 0.00826079 | 0.339486 pm 0.0189792 | 0.0016562 pm 0.000113485 | 0.0796 pm 0.0129203 | 0.267548 pm 0.0316185 | 0.02717 pm 0.0073067 | 0.00679 pm 0.00231362 | 0.0945 pm 0.0260574 | 0.436 pm 0.0593053 | 
| tanbeta = 10, m0 = 400 m12 = 320 | 0.0164908  pm 0.0013932 | 0.026855 pm 0.0062449 | 0.245395 pm 0.0134356 | 0.0015349 pm 0.000105114 | 0.0561 pm 0.00947289 | 0.200108 pm 0.0237496 | 0.01875 pm 0.00526066 | 0.0047 pm 0.00167089 | 0.058 pm 0.0169271 | 0.294 pm 0.0419757 | 
